Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Martewicz, S. et al. Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli. Ann Biomed Eng 47, 852865 (2019).", Transcriptomic Characterization of a Human In Vitro Model of Arrhythmogenic Cardiomyopathy Under Topological and Mechanical Stimuli,GSE115621 (Stretched),https://doi.org/10.1007/s10439-018-02134-8,2019," Ann Biomed Eng 47, 852865 (2019)",in-house,1,,,Matrigel,E8,,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,,,,,,,,,,Yes,,Yes,Yes,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,Stretching device,,,,,,,,,,,,,,,,,RNA-seq,,ACM,87.8,18.3,9.7,2D Only,,,1,Q3,2,Q2,,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,Q1,Q2,Q2
"Mastikhina, O. et al. Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing. Biomaterials 233, (2020).", Human cardiac fibrosis-on-a-chip model recapitulates disease hallmarks and can serve as a platform for drug testing,,https://doi.org/10.1016/j.biomaterials.2019.119741,2020," Biomaterials 233, (2020)","iCellA, iCellB",2,"NaN, NaN","NaN, NaN",,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,Fibrin + matrigel,CM + SC,hCF,,"StemPro,34,StemPro,34,Nutrient,Supplement,L,glutamine,L,ascorbic,acid,transferrin,1,thioglycerol",35,1.25,Yes,,,,,,Post deflection,,3.7,,,,,,,,,,,,,,,RNA-seq,"carvedilol, losartan, pirfenidone",Myocardial fibrosis,,,,3D Only,,,1,Q3,1,Q3,,,,,,,,75,Q3,0,Q2,25,Q1,Q1,Q4,,,,Q2,,,,,,,,,,,,,
"Masumoto, H. et al. The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages. Sci Rep 6, (2016).", The myocardial regenerative potential of three-dimensional engineered cardiac tissues composed of multiple human iPS cell-derived cardiovascular cell lineages,,https://doi.org/10.1038/srep29933,2016," Sci Rep 6, (2016)",201B6,1,Female,Caucasian,Matrigel,MEF-conditioned medium,,RPMI-1640,B27,"Activin A, BMP4, bFGF, Wnt3a",0-5,Dkk1,5-Jul,,,Flow cytometry for cTnT+,62,"RPMI-1640, B27, VEGF",,,,,Yes,Yes,,,,,,Collagen + matrigel,CM + EC + SC,hiPSC-MC,hiPSC-EC,"MEM,FBS,mercaptoethanol",15,100,Yes,TEM,,,,,Force transducer,,1.5,,,,,,,,MCR,,,,4.5,,,RNA-seq,,,,,,3D Only,,,5,Q1,2,Q2,5,,,,,Q5,"RPMI-1640, B27, VEGF",62,Q3,19,Q1,2,Q2,Q2,Q1,,,,Q3,,,,,,,,,,Q1,,,
"Mathur, A. et al. Human iPSC-based cardiac microphysiological system for drug screening applications. Sci Rep 5, (2015).", Human iPSC-based cardiac microphysiological system for drug screening applications,,https://doi.org/10.1038/srep08883,2015," Sci Rep 5, (2015)",WTC11,1,Male ,Asian,Matrigel,E8,85,RPMI-1640,B27,CHIR99021,0-1,IWP4,2-May,,,Flow cytometry for cTnT+,90,,,,,,,,Flow,,,,,"Scaffold free, microfluidic device",CM,,,"Knockout,DMEM,FBS,L,glutamine,NEAAs,mercaptoethanol",5,0.1,Yes,,,,,,Motion tracking analysis,,,8,Genetically encoded sensor,,,,,,MEA,,,,,,,,"isoproterenol, verapamil, metoprolol, E4031",,,,,3D Only,,,1,Q3,3,Q1,7,,,,,Q3,RPMI-1640,100,Q1,0,Q2,0,Q3,Q4,Q5,,,,,Q4,,,,,,,,,,,,
"Matsuura, K. et al. Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42°C condition for tumor prevention. Tissue Eng Part C Methods 24, 605615 (2018).", Induced pluripotent stem cell elimination in a cell sheet by methionine-free and 42ÃÂ°C condition for tumor prevention,,https://doi.org/10.1089/ten.TEC.2018.0228,2018," Tissue Eng Part C Methods 24, 605615 (2018)",201B7,1,Female,Caucasian,,,EB,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),"Activin A, BMP4, bFGF",0-4,IWR1,4-Jun,Cell sorting,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,4,Q1,2,Q2,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Mattapally, S. et al. Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice. Am J Physiol Heart Circ Physiol 315, H327H339 (2018).", Spheroids of cardiomyocytes derived from human-induced pluripotent stem cells improve recovery from myocardial injury in mice,,https://doi.org/10.1152/ajpheart.00688.2017,2018," Am J Physiol Heart Circ Physiol 315, H327H339 (2018)",GRiPS,1,,,Matrigel,,,RPMI-1640,B27,CHIR99021,0-1,IWR1,3-May,No glucose with lactate,Oct-15,"IHC cTnT, IHC Cx43, IHC MLC2v, IHC MLC2A",,,,,,,,,,,,,ECM-coated plastic/glass,Fibrin,CM,,,"RPMI,1640,B27",9,0.5,Yes,,,,,,,,,,Dye,,,,,9.4,,,,,,,,,,,,,,2D and 3D,,,1,Q3,2,Q2,5,,,5,Q1,,RPMI-1640,100,Q1,0,Q2,0,Q3,Q3,Q4,,,,,,,,,,Q2,,,,,,,
"McMinn, P., Guckenberger, D. J. & Beebe, D. J. Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit. SLAS Technol 26, 8091 (2021)."," Induced Pluripotent Stem Cells on a Chip: A Self-Contained, Accessible, Pipette-less iPSC Culturing and Differentiation Kit",,https://doi.org/10.1177/2472630320921173,2021," SLAS Technol 26, 8091 (2021)",IMR-90,1,Female,,Matrigel,"mTeSR1, TeSR-E8",,RPMI-1640,B27,CHIR99021,0-1,IWP4,2-Apr,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,2D Only,,,1,Q3,2,Q2,4,,,,,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Melby, J. A. et al. Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues. J Proteome Res 20, 14241433 (2021).", Functionally Integrated Top-Down Proteomics for Standardized Assessment of Human Induced Pluripotent Stem Cell-Derived Engineered Cardiac Tissues,,https://doi.org/10.1021/acs.jproteome.0c00830,2021," J Proteome Res 20, 14241433 (2021)",DF19-9-11T.H,1,Male,,Matrigel,StemFlex,100,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose with lactate,17-24,Visual Inspection,95,,,,,,Yes,Yes,,,,,,Fibrin,CM + SC,hiPSC-CF,,"High,glucose,DMEM,F12,nutrient,FBS,horse,serum,HEPES,NEAAs,sodium,pyruvate,insulin,tranexamic,acid,aprotinin",11,60,,,,,,,Force transducer ,,25,,,,,,,,,,,,,,,PCR,,,,,,3D Only,,,1,Q3,2,Q2,7,7,Q1,7,Q1,Q2,RPMI-1640,91,Q2,0,Q2,9,Q2,Q2,Q1,,,,Q1,,,,,,,,,,,,,
"Michas, C. et al. Engineering a living cardiac pump on a chip using high-precision fabrication. Sci. Adv 8 (2022).", Engineering a living cardiac pump on a chip using high-precision fabrication,,https://doi.org/10.1126/sciadv.abm3791,2022, Sci. Adv 8 (2022),PGP1,1,Male,Caucasian,Matrigel,mTeSR-1,90,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose with lactate,Dec-16,,,,Fibronectin,,,,,Yes,Flow,Yes,,,,Fibrin + matrigel,CM + SC,hMSC,,"RPMI,1640,B27",12,14,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,2,Q2,10,4,Q2,4,Q2,,RPMI-1640,98,Q1,0,Q2,2,Q2,Q2,Q2,,,,,,,,,,,,,,,,,
"Miki, K. et al. ERR? enhances cardiac maturation with T-tubule formation in human iPSC-derived cardiomyocytes. Nat Commun 12, (2021).", ERR? enhances cardiac maturation with T-tubule formation in human iPSC-derived cardiomyocytes,,https://doi.org/10.1038/s41467-021-23816-3,2021," Nat Commun 12, (2021)","1390D4, 1390C1, 409B2",3,"NaN, NaN, Female","NaN, NaN, Caucasian",iMatrix-511,"Primate ES cell medium (REPROCELL) with human recombinant basic fibroblast growth factor (bFGF), AK02N medium",EB,StemPro-34,"L-glutamine,  1-thioglycerol, L-ascorbic acid, transferrin, VEGF","Activin A, BMP4, bFGF",0-2,"IWP3 - also SB431542, VEGF",2-May,,,Flow cytometry for cTnT+,99,,,Signal perturbation,"ERR? agonist GSK4716, S-phase kinase-associated protein 2 inhibitor",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,TEM,Yes,2.1,,Yes,Motion tracking analysis,,,33,,,,,,,Patch clamp,41,122,-67,,Seahorse,,"RNA-seq, PCR",,,,,,2D Only,,,2,Q2,3,Q1,,,,,,Q1,StemPro-34,,,,,,,,,Q1,,,,Q2,,,,,,Q1,Q1,Q3,,,,
"Miller, J. M. et al. Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity. Toxicol Appl Pharmacol 406, (2020).", Heart slice culture system reliably demonstrates clinical drug-related cardiotoxicity,,https://doi.org/10.1016/j.taap.2020.115213,2020," Toxicol Appl Pharmacol 406, (2020)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aspirin, doxorubicin, sunitinib, erlotinib",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Mills, R. J. et al. Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest. Proc Natl Acad Sci U S A 114, E8372E8381 (2017).", Functional screening in human cardiac organoids reveals a metabolic mechanism for cardiomyocyte cell cycle arrest,,https://doi.org/10.1073/pnas.1707316114,2017," Proc Natl Acad Sci U S A 114, E8372E8381 (2017)",ATCC-BXS0116,1,,,Matrigel,mTeSR-1,,RPMI-1640,"B27, L-ascorbic acid","Activin A, BMP4, CHIR99021, bFGF",0-3,IWP4,3-Jun,,,"Flow cytometry for cTnT+, Flow cytometry for a-actinin",70,"?-MEM, GlutaMax, FBS, L-ascorbic acid",,Yes,"Palmitic acid, TGF?-1",,Yes,Yes (not pure),,,,,,Collagen + matrigel,CM + SC,hiPSC-SC,,"MEM,FBS,L,ascorbic,acid",14,0.8,Yes,TEM,,2.3,,Yes,Post deflection,0.37,,,Dye,2.5,,200,500,,Patch clamp,,102,-59,,"Metabolomics, Seahorse",Yes,"RNA-seq, PCR",,,,,,3D Only,,,3,Q1,3,Q1,6,,,,,Q5,"?-MEM, GlutaMax, FBS, L-ascorbic acid",70,Q3,0,Q2,30,Q1,Q2,Q4,Q1,,Q3,,,Q1,,Q4,Q1,,,Q2,Q5,,,,
"Minor, A. J. & Coulombe, K. L. K. Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production. Stem Cells Transl Med 11, 97106 (2022).", Stimulating Calcium Handling in hiPSC-Derived Engineered Cardiac Tissues Enhances Force Production,,https://doi.org/10.1093/stcltm/szab002,2022," Stem Cells Transl Med 11, 97106 (2022)",WTC11,1,Male ,Asian,Vitronectin then Matrigel,E8,,RPMI-1640,B27,CHIR99021,0-1,IWP2,3-May,No glucose with lactate,14-21,Flow cytometry for cTnT+,61,"RPMI-1640, B27, 1.1mM Ca2+",,,,Yes,Yes,,,,,,,Collagen,CM,,,"RPMI,1640,B27,1.1mM,Ca2",16,60,Yes,,,,,,Force transducer,,0.25,,,,,,,,,,,,,,,PCR,,,,,,3D Only,,,1,Q3,2,Q2,10,7,Q1,7,Q1,Q5,"RPMI-1640, B27, 1.1mM Ca2+",100,Q1,0,Q2,0,Q3,Q2,Q1,,,,Q4,,,,,,,,,,,,,
"Miwa, T., Idiris, A. & Kumagai, H. A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels. Regen Ther 15, 1826 (2020).", A novel cardiac differentiation method of a large number and uniformly-sized spheroids using microfabricated culture vessels,,https://doi.org/10.1016/j.reth.2020.04.008,2020," Regen Ther 15, 1826 (2020)","201B7, 253G1",2,"Female, NaN","Caucasian, NaN",Matrigel,mTeSR-1,EB,StemPro-34,"VEGF, bFGF","Activin A, BMP4, bFGF",0-4,IWP4,4-Jun,,,Flow cytometry for cTnT+,95,,,,,,,,,,,,,Scaffold free,CM,,,,,0.015,Yes,,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,3D Only,,,4,Q1,2,Q2,,,,,,Q2,StemPro-34,100,Q1,0,Q2,0,Q3,,Q5,,,,,,,,,,,,,,,,,
"Moon, I., Ahmadzadeh, E., Jaferzadeh, K. & Kim, N. Automated quantification study of human cardiomyocyte synchronization using holographic imaging. Biomed Opt Express 10, 610 (2019).", Automated quantification study of human cardiomyocyte synchronization using holographic imaging,,https://doi.org/10.1364/BOE.https://doi.org/10.000610,2019," Biomed Opt Express 10, 610 (2019)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Murphy, J. F. et al. Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues. Stem Cell Res Ther 10, (2019).", Adult human cardiac stem cell supplementation effectively increases contractile function and maturation in human engineered cardiac tissues,,https://doi.org/10.1186/s13287-019-1486-4,2019," Stem Cell Res Ther 10, (2019)",SKiPS-31.3,1,,,Matrigel,mTeSR-1,,iCell Maintenance Medium (CDI),B27,CHIR99021,0-1,IWR1,3-Apr,,,,,,,,,,Yes,Yes,,,,,,Collagen + matrigel,CM + cardiac stem cells (CSCs),,,"F12,HAM,s,FBS,bFGF,l,glutathione",,6,Yes,,,,,,Post deflection,0.012,,,,,,,,,,,,,,,,Nanostring,,,,,,3D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),90,Q2,0,Q2,10,Q2,,Q3,,,Q5,,,,,,,,,,,,,,
"Nakane, T. et al. Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue. Sci Rep 7, (2017).", Impact of Cell Composition and Geometry on Human Induced Pluripotent Stem Cells-Derived Engineered Cardiac Tissue,,https://doi.org/10.1038/srep45641,2017," Sci Rep 7, (2017)",201B6,1,Female,Caucasian,Matrigel,"MEF-conditioned medium, bFGF",,iCell Maintenance Medium (CDI),B27,"Activin A, BMP4, bFGF, Wnt3a",0-5,,,,,Flow cytometry for VCAM1+,,,,,,,Yes,Yes,,Yes,,,,Collagen + matrigel,CM + EC + SC,hiPSC-MC,hiPSC-EC,"High,glucose,DMEM,FBS",15,150,Yes,,Yes,,,,Force transducer,,0.55,,,,,,,,MCR,,,,6.9,,,PCR,,,,,,3D Only,,,5,Q1,1,Q3,5,,,,,,iCell Maintenance Medium (CDI),45,Q3,18,Q1,15,Q1,Q2,Q1,,,,Q3,,,,,,,,,,Q1,,,
"Navaratnarajah, C. K. et al. Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition. J Virol 95, (2021).", Highly Efficient SARS-CoV-2 Infection of Human Cardiomyocytes: Spike Protein-Mediated Cell Fusion and Its Inhibition,GSE184715,https://doi.org/10.1128/JVI.01368-21,2021," J Virol 95, (2021)",in-house,1,,,Geltrex,mTeSR-1,EB,iCell Maintenance Medium (CDI),,CHIR99021,,IWP4,,,,,,,Fibronectin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,"SEM, TEM",,,,,,,,,,,,,,,,,,,,,,RNA-seq,,Impact of SARS-CoV-2 infection on hiPSC-CMs,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Ng, R. et al. Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues. Am J Physiol Heart Circ Physiol 318, 15161524 (2020).", Contractile work directly modulates mitochondrial protein levels in human engineered heart tissues,,https://doi.org/10.1152/ajpheart.00055.2020,2020," Am J Physiol Heart Circ Physiol 318, 15161524 (2020)",PGP1,1,Male,Caucasian,Matrigel,mTeSR-1,100,iCell Maintenance Medium (CDI),B27,CHIR99021,0-1,IWP,3-May,,,,,,,,,Yes,Yes,Yes,Yes,,,Yes,,Decellularized tissue,CM + SC,hCF,,,10,9.6,,,,,,,Force transducer,0.64,,,Dye,0.2,,230,,,,,,,,,,,blebbistatin,,,,,3D Only,,,1,Q3,2,Q2,9,,,,,,iCell Maintenance Medium (CDI),91,Q2,0,Q2,9,Q2,Q3,Q2,,,Q2,,,Q5,,Q3,,,,,,,,,
"Noor, N. et al. 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts. Advanced Science 6, (2019).", 3D Printing of Personalized Thick and Perfusable Cardiac Patches and Hearts,,https://doi.org/10.1002/advs.201900344,2019," Advanced Science 6, (2019)",in-house,1,,,Matrigel,NutriStem Medium,100,iCell Maintenance Medium (CDI),"FBS, vitamin B12, zinc sulphate heptahydrate, cupric sulfate pentahydrate",CHIR99021,0-2,IWP2,4-Jun,,,,,,,,,,,Yes,,,,Yes,,Decellularized tissue,CM + EC + SC,hiPSC-CF,hiPSC-EC,EGM2,118,,Yes,SEM,,,,,,,,,Dye,,,,,,,,,,,,,,,,,,,3D Only,,,2,Q2,2,Q2,8,,,,,,iCell Maintenance Medium (CDI),85,Q2,12.5,Q1,2.5,Q2,Q1,,,,,,,,,,,,,,,,,,
"Oleaga, C. et al. Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system. Biomaterials 182, 176190 (2018).", Investigation of the effect of hepatic metabolism on off-target cardiotoxicity in a multi-organ human-on-a-chip system,,https://doi.org/10.1016/j.biomaterials.2018.07.062,2018," Biomaterials 182, 176190 (2018)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,Flow,,,,MEA,,,,,"HSL2,medium",,,,,,,,,Post deflection,,,,,,96,,,,,15,,,,,,,"cyclophosphamide, acrolein, terfenadine, fexofenadine",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,Q1,,,,Q3,,,,,,
"Oleaga, C. et al. Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs. Sci Rep 6, (2016).", Multi-Organ toxicity demonstration in a functional human in vitro system composed of four organs,,https://doi.org/10.1038/srep20030,2016," Sci Rep 6, (2016)",iCell,1,,,,,,iCell Maintenance Medium (CDI),iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,Yes,Flow,,,,ECM-coated plastic/glass,,,,,"Ultraculture,medium,B27,L,glutamine,dextrose",,,Yes,,,,,,Post deflection,,,,,,,,,,,,,,,,,,"doxorubicin, atorvastatin, valproic acid, acetaminophen, n-acetyl-m-aminophenol",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium (CDI),,,,,,,,,,,,,,,,,,,,,,,,,
"Ong, C. S. et al. Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes. Sci Rep 7, (2017).", Biomaterial-Free Three-Dimensional Bioprinting of Cardiac Tissue using Human Induced Pluripotent Stem Cell Derived Cardiomyocytes,,https://doi.org/10.1038/srep20030,2017," Sci Rep 7, (2017)",in-house,1,,,Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWR1,3-May,,,Flow cytometry for VCAM1+,93,,,,,,,Yes,,Yes,,,,Scaffold free,CM + EC + SC,hCF,HUVEC,,0.165,0.25,Yes,,,,,,Motion tracking analysis,,,,,,,,,,Optical mapping,4,,,,,,,,,,,,3D Only,,,1,Q3,2,Q2,,,,,,Q2,RPMI-1640,70,Q3,15,Q1,15,Q1,Q5,Q4,,,,,,,,,,,Q4,,,,,,
"Ozcebe, S. G., Bahcecioglu, G., Yue, X. S. & Zorlutuna, P. Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence. Biomaterials 268, (2021)."," Effect of cellular and ECM aging on human iPSC-derived cardiomyocyte performance, maturity and senescence",,https://doi.org/10.1016/j.biomaterials.2020.120554,2021," Biomaterials 268, (2021)",HVRDi007-A,1,Male,,Geltrex,mTeSR-1,90,RPMI-1640,"B27, ?-mercaptoethanol",CHIR99021,0-2,IWP4,4-Jun,,,,,,FIbronectin,,,,,,,,,Yes,ECM-coated plastic/glass,,,,,"RPMI,1640,B27,mercaptoethanol",,,Yes,,,,,,Motion tracking analysis,,,45,Dye,,24,500,,,,,,,,,,,isoproterenol,,,,,2D Only,90,,2,Q2,2,Q2,9,,,,,,RPMI-1640,,,,,,,,,,,,,Q2,,Q5,Q1,,,,,,,,,
"Parikh, S. S. et al. Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes. Circ Res 121, 13231330 (2017).", Thyroid and Glucocorticoid Hormones Promote Functional T-Tubule Development in Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes,,https://doi.org/10.1161/CIRCRESAHA.117.311920,2017," Circ Res 121, 13231330 (2017)",in-house,2,,,Matrigel,mTeSR-1,75,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,No glucose,Oct-16,,,"RPMI-1640, B27, T3, dexamethasone",Matrigel,Yes,"T3 (triiodothyronine), Dex (dexamethasone)",,,,,,Yes,,Thick matrigel,,,,,"RPMI,1640,B27,T3,dexamethasone",,,Yes,,,,2000,Yes,Motion track analysis,,,,Dye,0.88,,490,,,,,,,,,,,caffeine (for calcium content & SR),,,,,2D Only,75,,2,Q2,2,Q2,16,,,6,Q1,,"RPMI-1640, B27, T3, dexamethasone",,,,,,,,,,Q2,,,,Q4,,Q1,,,,,,,,,
"Park, J. et al. Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes. Acta Biomater 102, 220230 (2020).", Modular design of a tissue engineered pulsatile conduit using human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.actbio.2019.https://doi.org/10.019,2020," Acta Biomater 102, 220230 (2020)",Y6,1,,,Matrigel,"KO-DMEM/F12, KOSR, L-glutamine, NEAAs, bFGF, ?-mercaptoethanol",90,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose with lactate,Dec-14,,,,,,,,Yes,Yes,,,,,,"Collagen, PGA mesh, decellularized porcine ECM",CM + SC,hCF,,"RPMI,1640,B27",30.45,25,Yes,,,,,,Force transducer,1.1,3.2,,,,,,,,,,,,,,,,,,,,,3D Only,,,1,Q3,2,Q2,11,,,2,Q2,,RPMI-1640,70,Q3,0,Q2,30,Q1,Q1,Q2,,,Q1,Q2,,,,,,,,,,,,,
